-76, -28, 2
-56, 46, 18
-29, 138, 48
-29, 138, 48
3, 178, 68
34, 196, 55
34, 196, 55
33, 202, -20
25, 156, -12
34, 82, 30
34, 82, 30
51, -37, 118
63, -168, 149
93, -263, 195
93, -263, 195
139, -289, 336
217, -265, 514
344, -137, 758
471, -39, 1053
601, 107, 1444
695, 264, 1860
750, 411, 1989
807, 589, 1946
807, 589, 1946
789, 585, 1938
787, 588, 1905
811, 570, 1917
809, 535, 1998
811, 477, 1978
822, 425, 1980
866, 448, 1991
910, 523, 1998
910, 523, 1998
933, 632, 1998
964, 735, 1998
961, 732, 1998
903, 603, 1952
826, 425, 1807
729, 226, 1606
610, 55, 1348
610, 55, 1348
481, -142, 1099
352, -330, 791
181, -506, 488
-5, -504, 191
-117, -481, 45
-174, -529, 82
-,-,-
155, 526, 375
193, 422, 272
193, 422, 272
209, 340, 128
179, 240, 17
158, 98, 42
150, -114, 37
150, -114, 37
157, -198, 65
180, -278, 238
224, -292, 451
274, -266, 636
334, -203, 750
407, -188, 1005
451, -62, 1231
512, 45, 1404
512, 45, 1404
565, 155, 1542
600, 200, 1712
639, 244, 1896
665, 337, 1962
692, 371, 1952
712, 411, 1984
742, 410, 1998
742, 410, 1998
787, 480, 1998
856, 487, 1998
918, 506, 1998
956, 535, 1998
943, 538, 1977
949, 525, 1884
960, 473, 1883
904, 443, 1806
904, 443, 1806
830, 350, 1648
720, 225, 1427
597, 89, 1242
474, -18, 1044
369, -38, 842
274, -141, 738
175, -186, 577
175, -186, 577
93, -170, 388
48, -130, 345
5, -96, 362
-43, -66, 326
-43, -66, 313
-63, -72, 313
-72, -79, 223
-76, -31, 159
-60, 52, 135
-66, 65, 104
-66, 65, 104
-62, 76, 2
-59, 45, -153
-36, 24, -241
-36, 24, -241
3, 34, -256
51, -14, -158
98, -53, -63
151, -105, 36
151, -105, 36
197, -149, 123
245, -188, 264
307, -177, 360
388, -188, 649
488, -79, 1002
550, 138, 1189
598, 195, 1600
645, 233, 1933
645, 233, 1933
663, 357, 1998
683, 471, 1990
748, 400, 1998
825, 462, 1998
893, 592, 1998
942, 694, 1998
949, 767, 1998
939, 696, 1998
939, 696, 1998
905, 577, 1998
847, 442, 1998
763, 286, 1946
625, 109, 1616
480, -99, 1294
367, -203, 991
-,-,-
197, 149, 216
277, 43, 609
277, 43, 609
335, 10, 830
302, 83, 715
267, 35, 810
292, -23, 731
292, -23, 731
372, -78, 847
376, -116, 1023
394, -162, 1208
352, -214, 1071
407, -206, 1108
492, -218, 1254
554, -158, 1562
614, -165, 1680
664, -104, 1705
765, 16, 1944
765, 16, 1944
868, 139, 1998
959, 249, 1998
1046, 364, 1998
1109, 460, 1998
1092, 422, 1998
1057, 307, 1998
1005, 254, 1998
920, 121, 1978
803, -17, 1794
693, -166, 1540
693, -166, 1540
559, -315, 1337
416, -436, 1133
298, -484, 906
200, -425, 631
108, -422, 434
58, -376, 346
29, -253, 350
-2, -227, 359
-2, -227, 359
-25, -194, 271
-26, -141, 163
-36, -132, 69
-47, -84, 40
-62, -19, 46
-62, -19, 46
-71, -8, -20
-61, 10, -94
-54, 35, -89
-34, 58, -32
-34, 58, -32
-13, 97, 1
1, 63, 29
1, 63, 29
25, 21, 106
67, -39, 285
67, -39, 285
112, -25, 345
148, -10, 370
205, -110, 488
262, -193, 688
307, -118, 851
367, 0, 1001
367, 0, 1001
421, -89, 1284
445, -134, 1550
465, -78, 1733
523, 47, 1908
563, -15, 1998
621, 76, 1998
621, 76, 1998
687, 174, 1998
762, 333, 1998
810, 407, 1998
808, 418, 1998
801, 378, 1998
775, 312, 1998
730, 163, 1998
730, 163, 1998
667, 40, 1981
585, -28, 1826
497, -122, 1568
401, -229, 1259
293, -327, 946
159, -363, 568
41, -318, 309
-,-,-
243, 244, 529
243, 244, 529
277, 166, 567
292, 216, 441
268, 222, 353
289, 150, 496
316, 35, 720
316, 35, 720
289, -42, 796
273, -20, 740
260, -84, 537
284, -172, 569
322, -283, 801
322, -283, 801
327, -317, 987
390, -347, 1056
434, -389, 1202
533, -415, 1534
660, -250, 1844
753, -151, 1998
879, 95, 1998
952, 382, 1998
1001, 571, 1998
1024, 545, 1998
1046, 495, 1998
981, 408, 1998
981, 408, 1998
891, 264, 1998
797, 84, 1906
705, -64, 1821
585, -163, 1644
477, -270, 1411
383, -386, 1275
299, -401, 1100
220, -359, 855
163, -326, 681
163, -326, 681
132, -263, 553
107, -207, 454
62, -196, 409
33, -177, 322
22, -135, 202
11, -94, 116
11, -94, 116
-19, -52, 37
-13, -29, -5
1, 45, -92
1, 45, -92
10, 97, -149
16, 153, -180
27, 187, -196
27, 187, -196
45, 176, -155
63, 143, -142
66, 85, -73
61, -7, 77
61, -7, 77
71, -35, 186
111, -18, 208
114, -129, 308
144, -192, 579
144, -192, 579
194, -192, 886
228, -191, 1025
262, -186, 1185
348, -268, 1569
423, -282, 1886
528, -155, 1976
573, -150, 1998
685, 42, 1998
762, 178, 1998
783, 236, 1998
783, 236, 1998
788, 265, 1998
764, 221, 1998
718, 147, 1998
647, 68, 1998
561, -29, 1998
463, -151, 1959
388, -250, 1751
321, -328, 1473
236, -408, 1213
145, -448, 1046
145, -448, 1046
64, -408, 763
17, -311, 423
-13, -291, 265
-,-,-
118, 389, 289
186, 344, 353
128, 278, 270
117, 194, 237
117, 194, 237
119, 108, 221
